,GSM12087,GSM12094,GSM12183,GSM12184,GSM12185,GSM12186,GSM12187,GSM12188,GSM12189,GSM12190
APBB1,1.0782762,1.0782762,1.4882246,0.9981024,1.0967742,1.9809438,1.4077328,0.7918252,1.6549356,1.5353456
APBB2,0.59058927,0.59058927,0.673913015,0.38330172,0.581566825,0.578493705,0.527680125,0.90304187,0.5987124785,0.771247025
APBB3,2.235708,2.235708,2.8152173,2.6110058,3.5115206,2.6424685,3.2284708,3.7870724,3.009442,3.8999205
APC,0.921430726666667,0.921430726666667,0.87349033,0.737824153333333,0.843932413333333,0.575317606666667,0.655536013333333,1.13371363333333,0.641487813333333,0.5946518
APC2,2.8452067,2.8452067,3.7463768,2.7182164,2.81106,3.6987298,2.4349737,2.1901143,2.5751073,2.0945196
APCS,0.07387863,0.07387863,0.20380434,0.25711575,0.0764977,0.3584392,0.29876977,0.5,0.51502144,0.5337569
APEX1,15.809148,15.809148,16.12047,15.351993,15.321659,16.782215,13.330404,15.007606,13.458369,12.988085
APEX2,3.2374673,3.2374673,3.097826,2.78463,3.283871,3.7105265,3.934095,3.8422058,2.8781114,3.101668
API5,1.11931984666667,1.11931984666667,1.13194440666667,1.40986714666667,1.33978503333333,1.28342408,1.0093732,1.61121683333333,1.2452075,1.21657396666667
APITD1,1.6411611,1.6411611,1.7780796,1.3444023,1.1364056,1.7023594,1.9068542,2.3460078,1.6197425,1.2255758
APITD1 /// APITD1-CORT /// CORT,0.67985934,0.67985934,1.4030796,0.8377609,0.74377877,0.18511797,1.258348,1.0475285,0.7811159,1.0468626
APLNR,1.2189975,1.2189975,0.9990942,1.1755219,0.5290323,0.8602541,0.3602812,0.24334602,1.1768241,0.5623511
APLP1,2.9744945,2.9744945,2.584239,3.9554079,4.9926267,5.4473686,6.880492,7.6083655,7.195708,5.1397934
APLP2,19.007038,19.007038,17.038042,19.67837,18.612904,19.022688,19.18629,20.326996,17.755365,17.421762
APOA1,0.20316623,0.20316623,0.22282608,1.0796964,0.8700461,1.1243194,0.7407733,0.9039924,0.7253219,0.82684666
APOA4,0.13720317,0.13720317,0.20652172,0.2960152,0.2092166,0.20961888,0.1880492,0.13307986,0.31845492,0.14853059
APOB,0.171943715,0.171943715,0.24184783,0.151328275,0.19262673,0.126134305,0.275043945,0.2794676985,0.295708167,0.5849881
APOBEC1,0.15655233,0.15655233,0.26721013,0.30834916,0.67741936,0.16333939,0.0940246,0.69866925,0.37339056,0.16203335
APOBEC2,0.043095868,0.043095868,0.028985506,0.0512334,0.2580645,0.07531761,0.08963093,0.2861217,0.024892705,0.029388404
APOBEC3B,1.1046615,1.1046615,1.9030797,1.5502846,1.8368664,1.579855,1.2636204,0.83079857,0.9733906,0.22637013
